review_id,translated_text,sentiment
742926209,"I was on a work trip, this is the 1st liver that I am in Bizerte, my employer chose the hotel, I need a lot of calm, to work with my team. Something that was remarkably good. 
The service is very acceptable.
Welcoming and professional staff.
Finally, location a few minutes from the city center.
And magnificent sea view, a real postcard, and without retouching.
I come back to it, and I recommend it for my friends and loved ones.
Thank you and congratulations for the whole team of the Bizerta Resort hotel.",Positive
741158145,"The judgment is above the average for the relationship between what is offered (dinner, breakfast and room) and the price.  The structure would need a reconditioning.
However quiet and pleasant stay. Average service.",Neutral
741016026,"An extra hotel, very clean room, correct prices, a warm welcome and service, refined cuisine, very well served, an ideal place to reside, also to make your meetings or congresses, I advise you to go there",Positive
732763407,"I stayed three days at the hotel, for the reasons of work.
The room was very large and well furnished, with a balcony overlooking the sea.
Clean and comfortable, the only drawback, not all the power outlets worked ...
The restaurant is also quite good, and breakfast is not very varied (perhaps because we are in winter, with not too many customers).
I give the four stars because in any case the value for money is still very valid!",Positive
717718917,"Clean clean hotel well located superb sea view, helpful personnel kind very welcome. It is an establishment that makes a lot of effort in order to satisfy its customers. A big thank you ....",Positive
703485703,"Mediocre hotel neither more or less, no professionalism housekeeper not at all clean reception at the reception very disappointing not to smile at all! Go your way there are better hotels than this on Bizerte!",Neutral
702171356,"Pleasant for a business trip to meet in a hotel by the beach. 
However, the qualities of the hotel service are just passable. Room that would need a renovation, correct breakfast without more. The historic port of Bizerte a few hundred meters is to be seen.",Positive
690638446,"We are very satisfied with our stay, a very warm welcome from the reception staff that I greet a lot and also all the hotel staff 
Everything is pleasant the reception, the greenery, the rooms the restaurant, the cleanliness ..... 
I highly recommend this hotel",Positive
690550704,"A real 4 stars, chic and refined and above all a perfect welcome. We spent 5 days there and appreciated everything, the service, the spa, the breakfasts, the meals, the cleanliness is a dream hotel to order",Positive
690275114,"We had a very good stay, the hotel is very well placed in the water, good food with generous quantities, clean room and warm welcome. We also took advantage of an offer at the SPA, it was great.",Positive
686948882,"We come with the family of 10 people with children for the swimming pool, the guy from reception no smile and tell us not to go see the pool and tells us to stay at the reception and either take tickets for the swimming pool or leave your establishment !! No respect !! A shame your staff .. we don't need this kind of welcome, they take themselves for ?? Such a disastrous and dirty hotel deserves no star.",Neutral
676170268,"Too bad the hotel is not too maintained it would be necessary to make renovations by competent people
Lack of cleanliness even in the catering room The tablecloths are not too clean but the staff are very nice.",Positive
666885748,The room is spacious. Bed is not comfortable and the duvet was not put in a cover. It’s very basic for its price and definitely doesn’t compare to other 4 star hotels. Not recommended unless it’s location makes sense for you. The breakfast was not good. The toilet in the room was not clean. The rest of the room was clean. No kettle so you can’t make coffee or tea in the room.,Neutral
661812986,"Hotel in a fantastic tourist location 
Welcome to reception 
Less rich and varied buffet 
A little classic decor in the rooms
Hotel entrance (classic architecture)
Lack of animation inside the hotel
Quality price problem",Positive
650930470,"Hotel fairly commonplace, for groups or for ""package"", quite noisy, rather cold lobby. Odor impregnated with cigarettes in the room on the carpet or the curtains! And breakfast is quite poor.",Negative
630039921,"I spent two nights in this hotel since I was in the area for work. It is a good hotel with comfort, acceptable.
Very quiet, with rooms overlooking the beach. 
Common spaces visited: only the breakfast room that presents a satisfactory offer.",Neutral
601029362,"We have spent a very pleasant stay, with a very available and very welcoming reception staff. Weak point.
I will go back without hesitation!",Positive
599223375,"We booked a triple room. When we got there, an extra bed was in place but with no sheets and only one big towel for the 3 of us. We told the reception but then had to remind them a further 2 times for anything to get done. When the sheets finally arrived, they handed them to us and left. They didn't even try to make the bed. 

In the morning, when we woke up, our bags were covered in ants. We dusted the ants off and when we told the reception, they just asked us why we didn't tell them earlier because we could have switched rooms. We told them that there were only 1-2 ants around the room the previous night (which we thought was normal for a warm country - so we didn't think to mention it)Then they suggested that it could have been our fault if we were carrying food (we weren't).

If it had been one of the above issues, it would have been alright but combined, it was a terrible experience. We asked for a refund. They offered us half the money back, on the condition that we don't write any negative reviews online! Unbelievable!",Neutral
596138454,Great sunny day at the pool. We liked the warm welcome of the employees. Thank you to the animation team and especially to Myriam one of the animators for his smile. The hotel is very beautiful and we eat well.,Positive
592901589,Old style hotel which needs refurbishing not to mention the dirt. A cookie that fell under my table took three days to be cleaned. Not tourist friendly....waiters need to know how to deal with tourists and make them happy. Wifi is disaster. Will not return to this hotel.,Positive
566507907,"Home -> OK
Chambers State -> Middle. They would need to be renovated, some sockets did not work, the wire of the extra lamp was defective, etc.
Cleanliness -> The establishment being a little aging it is difficult to make a real opinion on this point.
Wifi -> free but many cuts to note
The road passes nearby which makes the hotel quite noisy in the end
Breakfast: OK with a wide choice between salty and sweet
Price: very correct for one night",Positive
546939138,"At first glance, the Bizerta Resort seems ok. The reception area, the grounds outside, the beach access, the nice outdoors pool and the heated indoors pool all give the illusion that it's a proper hotel. Even the rooms are spacious. But that is where the positive aspects end. The sink does not drain, the toilet does not flush, the bathroom is depressing, the food is terrible, the breakfast is basic and service is virtually absent. If you've got an ocean view room, make sure you're on the third floor otherwise you risk seeing more concrete structures than ocean from the balcony.

We were there for a conference and the meeting room was nicely located and very well heated. But it's not a place where I would choose to come for a holiday, as you spend most of your time stressing because the basics don't work.",Positive
545898985,"Clean hotel and with various services, which go, from welcome to body care.
Always clean and fragrant rooms, just put the appropriate ""Clean My Room"" scorer and you will be satisfied, the only inconvenience and that for two days and failure to warm up and the water was not very hot, which then resolved in the best way.
The restaurant is worthy of a visit, breakfast is really excellent and for all tastes, lunch and dinner to be enjoyed in the company of beer or wine, which are normally served at the tables, with excellent dishes of local and European cuisine. The pasta is not their strong.",Positive
543613904,"Opened in 1997, this hotel is still in good condition. The welcome was correct.
I visited a few rooms and a suite, whose furnishings are completely correct for a 20 -year -old hotel.
I have lunch an egg brick and an excellent fish couscous.
I drank a good Turkish coffee.
In short, I had a good time.
I go back soon.",Positive
519601746,"Room with pretty sea view, large with small terrace. Aging decoration and bathrooms that border on obsolescence, in particular the level of lighting and plumbing 
No wifi in the room I occupied, no assistance from the reception which did not seem concerned 
Air conditioning automatically climbs that we leave the room, as a result when you go back in the middle of the day the atmosphere is stifling and unbearable 
Nice international TV bouquet but no list of channels available
Sad and uninteresting breakfast buffet 

The bedding is low -end and is not up to the standing of the hotel and the selling prices charged 
The entertainment around the hotel is so noisy that it is useless to think of being able to enjoy the small terrace in the evening. Even inside the room, closed windows, we are disturbed and it is impossible to sleep 

In short, I am disappointed and I do not think I return to this establishment",Neutral
514896097,"It is a good quality hotel well placed 
The quality of the kitchen is good 

By the level of staff is a shame 
The hotel management should make the effort to train its staff commercially and explain to them that a customer is not a security tax 
For example: server that removes your plate or even draws up the next meal table when we had not finished the meal
Or Porteur or Personnel of the arrogant or aggressive reception 

A shame!",Positive
513084303,"Oh well where do i begin...first of all we book this hotel because our friend had wedding so we had to stay one night...we book sea view room and paid for it and guess what got the street view...ok we won't bother it is just one night and we were tired from traveling 4 hrs with car...then AC not working...toilet not flushing...balcony doors handle broken...ok when we go out we will stop at reception and make a complaint and give them the order for room service breakfast in bed...guy at reception just said they don't have room bcs they are fully booked even though you can still book rooms on Expedia, interesting...and he can not take paper for room service we need to hang it on room doors...ok no problem we go back to room...in the morning guess what paper is still on the doors and no breakfast in room...i work in hospitality you are far far away from that...i know the situation in Tunisia is not so good and your salary is very low but if you continue like this you won't earn even this...i always tip hotel staff because i know the business but this blew me away...terrible service and management...",Neutral
506525418,"It is necessary to avoid your restaurant may its mediocre buffet be the dinner served at the table not at a 4 -star hotel.
And above all you have to check the factors that you will sign to avoid unpleasant surprises.",Negative
505532446,"We wanted to spend a night see 2 in this hotel, we did not even spend the door, because taken was part by the doorman, arrogant condescending, in addition to passing their functions by harassing the customers of questions. The reception is to be reviewed and the training of staff too, the amateurism of the doors is distressing.",Neutral
501391458,"The hotel is well located behind the beach, near the city center. It is clean and welcoming but nothing more.
The rooms would require a small renovation, because the whole date and is no longer fresh.
At night, it's a bit noisy. Breakfast does not offer a lot of choices and the products are not very good, especially coffee.

In short, for the moment, it is still going but it will not last a few more years ...",Neutral
498946180,"Dear food not worthy of a four star lost a lot as it was better ten years ago, it is more young young people who come from abroad in summer who are tidy for two nights her pass but without more",Positive
479397457,"Very good experience, the staff are very professional and very flexible for crises in particular reception. The reception chief (Rym Ben Hasine) was of great help and has shown a lot of flexibility. The whole team is super kind and professional. The rooms are clean and well maintained, those who have seen on the swimming pool and the sea have a superb view. The hotel offers services (seminar, spa, catering ...) Hotel to advise for seminars and for family holidays.",Positive
479144362,"I stayed for a long time at the hotel for work reasons. It is truly comfortable, very clean compared to the standards I have seen elsewhere. Large rooms and if with a view of the swimming pool and the sea, a real show.
Large and clean bathroom. Courteous and diligent staff. Excellent location for both walks in the city and excursions outside it.",Positive
477468853,"Nice hotel, very welcome, spacious and clean.
Stay as part of business travel for one night.
I haven't eaten on site, or have breakfast.
I will go back without hesitation.",Positive
476896873,"The hotel is large, breakfast is a scarce variety, a lot of typical in the area but it would be better more varied for the strangers.
The room was not bad, I played one with good views although cleaning appeared more than it was, the first day well but when it goes in 5 it does not strive the cleaning staff.

A bad detail was that with the reservation it was mandatory that we had to pay with targeta, and at the time of truth because Nanai, they played it to us and if it is not for the director Estams there yet.

No very clear if I would repeat at this hotel",Positive
466475233,"Can't complain about the staff and the cleanliness of the rooms although some softener could be used for the towels..
The restaurant is of poor quality and service for such a luxury hotel beneath expectation.
Breakfast is ok but the coffee was exceptionally lousy",Neutral
443588847,"Beautiful hotel, with a warm welcome
Meals are good and varied 
Comfortable and well soundproofed rooms 
The most of the hotel is the swimming pool and the beach 
Really very good for business stays 
Thank you again for the welcome",Positive
434661601,I spent two nights in the resorts the service and pleasant the rooms are clean the spy and at 50mt the sea view rooms excellent hotel recommended to spend a long holiday and also for work greetings,Positive
430540901,"The staff are welcoming. My room was correct except the shower head which was very damaged. 
On the food side, the fish was good but the rest commonplace and some servers have a red fish memory. 
The sea view is nice. 
The hotel still deserves a refreshment at the level of the paintings (everything flakes).",Positive
429052397,I have been to this hotel for work many times. It is a very well -kept hotel with good service. Ms. Ben Hassine at the reception speaks German well and looked after us. I am happy to come back next year!,Positive
414716151,"Stay for business in LPD for a weekend at the end of the summer.

Strengths:
Spacious rooms. TV with French channels with a very good quality image. TF1, FR2, FR3, M6, France 24.
Office in the room. Long deep swimming pool (for athletes). Small bodybuilding room. Good quality of massage and care. Breakfast is friendly. Friendly staff.

Point to improve:
The carpet in the rooms deserves to be thoroughly deserves or replacement. The chamber air conditioner deserves a small gas recharge to be more effective. The parking lot is not closed by a fence and gate. Bedding and decoration deserve a makeover. (80s and 90s).

Overall the hotel is maintained and correct. The city is very friendly especially the district of Old Port.",Positive
407851250,"A bit expensive but nice hotel

Breakfast is nice

Two swimming pools 
One inside and one outside 

There is a gym but you have to pay for it 

Old city is very close about 10 minutes walk

The rooms have good space
But no boiler for tea

People are very friendly at reception 

Food is great at hotel restaurant and price is acceptable",Positive
407181765,Thank you departure with lots of regret we go from 5/08 to 12/08/2016 at the top of the pleasant cleaning lady with little pink attention on the bed and reception and personal at the top and very professional loyal since 2010 C not close to changing and you deserve your 5 stars soon,Positive
405424740,"have spent a wedding party on 08/13/2016 were not satisfied
- You open the door on your own 
- No warm welcome 
- Air conditioning zero 
- No safety 
- The car is too far from the main door 
here and I'm talking about a 4 star 
It is not the first in June me I attended a congress it is worse neither air conditioning nor reception even the Minister of Energy reacted to 
B night",Neutral
388783523,"Positive spitality: very clean room, but especially every evening when I return there are flowers, images with wonderful towels !!!
Restore and breakfast: positive
Presence of Alcol
Very sincere reception.
Fortunately in Bizerte there is this hotel !!",Positive
375381946,"Excellent hotel, impeccable service, helpful and welcoming staff 
Spacious room and beautiful view
Spacious seminar
Many thanks for the hotel staff (banker, reception, maintenance, .....)",Positive
370610733,"We stayed there for two nights. The place looks overall ok, like a true resort. We payed 110 euros per night (55 euros per person, not sure why they count per person...). Quite a sum for Tunisia and from there one is tempted to judge everything based on rather high standards. And that s when one gets often disappointed, though not always. The room was nice with sea view and lots of light. Hotel itself looks old, like it hasn't been maintained since the 80s. One can feel that these are hard times for tourism and that money is scarce. Hotel seems understaffed. Staff are very nice, though better service would be expected for this kind of hotel. Alcohol is served and the bar looks old and empty and atmosphere rather sad. Two swimming pools - outdoor and indoor - though outdoor was not open yet. Outside the badly needs maintenance.  Breakfast was included but was simply of  horrible quality. Internet worked bad.  So overall OK but not worth the price really.",Neutral
369457746,"+ Accessibility and proximity to the city center as well as the cornice (very lively area)
+ Proximity of all types of shops
+ Friendship of the person upon reception
+ Well -maintained garden and lawn 
+ Gigantic apartment for 2 or even 3 people

- Cleanliness of the room and especially sanitary facilities
- General State of accessories and utensils made available
- Too much noise early in the morning when he passed away maids",Positive
309520460,"I don't understand in which hotel the other travelers were to make such terrible reviews. I agree that the resort denomination is inappropriate, but for the rest it is definitely a good hotel for at least a working stay. I finally found European standards with excellent cleaning in the rooms and a discreet restaurant also on paper.
 Wi-Fi worked perfectly everywhere.
To this is added an excellent service to the reception. 
Judgment, therefore, very positive.",Positive
306586530,"Beautiful swimming pool but no slide for children

The hotel is kept by arms in arms.

The parking lot is accessible.

The a little dirty beach (no garbage cans on the beach!)

The food is average",Neutral
303006725,Éli Hiya Esayed éli i9os fi Tesker filb 3LECHTHOTOST A9REB Lel Cliounet 3la 5ater Howa Mant9ou Behi Wichaje3 Fi Esiyeha Ede5iliya Hedha Howa éli Lahedhtou Ena mais Le RSTE CV Staff Behi 5ADAMET Behya Bravo.,Neutral
302368078,"First I don't know how they did to call him resort, since he really has nothing. We stayed in this bad hotel in mid -August we booked for three days, but on the first day we ran away. They are not organized at all. In the middle of August on the bed there were wool blankets, the room was dirty. They were endowed with a spa, but it was practically in the most absolute degradation, we went to have dinner in the restaurant and there was a gentleman who did both waitresses and chefs, food (if we want to call him such) seemed a pulp or food for animals. The beach was closed, or rather it was without sunbeds and there were only a few umbrellas, the path to get there was full of personal mud puddles at all suitable for a resort. It was a very bad experience. The only positive thing was Wi-Fi in the rooms.",Neutral
300292847,"If the staff were very available and helpful, we still had to claim a change of bedding because our covers and the pillows because there were traces of dirt and hairs! If wifi and satellite television worked very well in the rooms, however, the jacuzzi and the indoor pool were abandoned. The staff of the restaurant in the evening sometimes forgot that we were in a 4 star and that we were entitled to have a minium of respect in attitude.",Positive
295630699,"Near the hotel, a huge sewer pipe flows into the sea. 
Swimming is therefore put in the pool ...
No luck, you will enjoy joys of the filthy smell whatever the place of the swimming pool where you are installed ...
Explanations from reception: ""It's outside the hotel ...""

Maybe, but it is indeed inside the hotel that the air is unbreathable ....
Scheduled for 4 nights, we left the hotel the day after our arrival.",Neutral
292763229,"Maybe better 
No Didier space at the hotel on the beach 
No animation on the pool 
But it represents one of the best hotels in Bizerte 
Good location Good quality of service at restaurant levels 
Understandable manager",Positive
278251500,"The hotel is not bad, large swimming pool, deck chairs, beach at 50m. Negative points: the carpet in the room is old and stained with everything, the buffet kitchen is ok, in La Carta no. Breakfast ok the women who clean the room are attentive to cleaning for what it is in their means .. overall 3 out of 5 stars is my vote",Positive
272600197,"Hotel very pleasant face to the sea (I had asked for a room with sea view), efficient and professional staff, nothing to say, a big thank you to cleaning women in my room (3 rd) who every day presented a different, really nice decoration.
The meals were good, the bartender very nice and attentive, there were few people the week of my presence, what a pity the pools were not yet in service .....",Positive
260317134,"The location of the hotel is excellent, moreover it is the first to find on your way when arriving in the city.
Very close to the medina of Bizerte and the old port but especially by the sea.
The rooms which overlook the sea and the large swimming pool have a very beautiful view, the others which give on the buildings offer nothing special in terms of view and their large terraces are used only to sunbathe since they welcome a lot of sun. And even if these rooms overlook the street they are not noisy it is well isolated.
The indoor swimming pool is often full because they are accessible even to non -residents.
The restaurant is average and the food is not famous in terms of taste and variety.
The cushions, covers and carpets are not very clean. You can find traces on the cushions or crumbs on the carpets when we have just cleaned the room. 
WCs and bathrooms in the rooms or elsewhere in the hotel are always clean and well maintained. Likewise for everything that is a bath towel.",Positive
259370776,"I also stayed for work in March 2015, and it was not the first time, as usual I found a good 4 -star ""Tunisian"" 4 stars, so with a fair level of cleaning and excellent hospitality, being on the work of work I appreciated the free and excellent wifi, the large room and the good breakfast for my wife, who eats sweet, acceptable for me that I eat salty, being in a Muslim country, the pork is missing (dried ham). Excellent location and parking. In summer I think it can also be an alternative also valid for holidays, given that it has a swimming pool, Piccola spa and it is on the beach, even if bizerts, it is not properly what an European would call ""tourist city"", but as my wife says, excellent for knowing Tunisia ""in side"".",Positive
254283495,"Very well placed hotel, facing the sea. If you don't have a sea side room it is very noisy, a lot of traffic. The rooms are clean, the bedding in good condition, but there are always a few things that do not work, we are in Tunisia.
If we compare with European standard, it's more a 2 - 3 stars than a 4 star. 
It is still one of the best in Bizerte.",Positive
