date,views,visits,Link clicks,interactions,reach
04-17-2022,9,6,5,3,9
04-18-2022,1,1,6,5,5
04-19-2022,6,6,3,4,5
04-20-2022,9,9,5,2,8
04-21-2022,4,3,4,4,1
04-22-2022,6,2,6,9,4
04-23-2022,1,6,4,2,2
04-24-2022,8,5,8,4,2
04-25-2022,2,3,8,2,9
04-26-2022,3,9,7,7,1
04-27-2022,4,8,7,6,8
04-28-2022,7,3,7,2,9
04-29-2022,3,5,6,6,6
04-30-2022,2,7,7,4,7
05-01-2022,5,6,5,8,6
05-02-2022,3,5,7,6,2
05-03-2022,3,7,3,5,2
05-04-2022,5,4,6,4,2
05-05-2022,3,1,1,6,1
05-06-2022,4,4,4,3,1
05-07-2022,9,2,6,6,8
05-08-2022,4,2,2,2,7
05-09-2022,6,4,3,6,2
05-10-2022,3,1,4,1,7
05-11-2022,5,1,5,9,2
05-12-2022,6,8,7,4,3
05-13-2022,8,9,6,1,7
05-14-2022,8,7,5,5,4
05-15-2022,5,3,3,3,5
05-16-2022,5,5,7,7,5
05-17-2022,8,8,8,9,4
05-18-2022,3,3,6,7,5
05-19-2022,2,7,2,3,2
05-20-2022,1,6,8,6,8
05-21-2022,9,1,5,2,3
05-22-2022,7,2,7,2,8
05-23-2022,4,1,9,8,5
05-24-2022,5,5,9,6,6
05-25-2022,3,7,8,8,3
05-26-2022,9,8,7,1,5
05-27-2022,9,5,3,3,9
05-28-2022,2,7,4,9,2
05-29-2022,8,9,6,7,3
05-30-2022,5,7,6,2,6
05-31-2022,8,4,2,3,5
06-01-2022,4,6,8,8,4
06-02-2022,3,8,6,8,8
06-03-2022,8,9,2,4,5
06-04-2022,4,8,7,7,1
06-05-2022,8,9,9,9,1
06-06-2022,9,6,7,6,2
06-07-2022,1,6,4,6,3
06-08-2022,9,5,1,8,6
06-09-2022,8,2,1,7,9
06-10-2022,3,4,4,8,6
06-11-2022,3,8,2,8,3
06-12-2022,1,7,6,9,5
06-13-2022,4,1,9,9,1
06-14-2022,4,4,3,3,3
06-15-2022,4,7,8,1,9
06-16-2022,2,1,9,7,1
06-17-2022,9,9,7,5,1
06-18-2022,6,6,5,2,2
06-19-2022,8,3,7,2,9
06-20-2022,8,8,8,6,3
06-21-2022,7,9,3,2,2
06-22-2022,6,8,4,9,4
06-23-2022,5,6,3,8,9
06-24-2022,5,8,7,3,7
06-25-2022,1,6,7,8,5
06-26-2022,4,9,7,9,5
06-27-2022,5,3,6,4,2
06-28-2022,9,1,4,7,8
06-29-2022,2,7,2,5,5
06-30-2022,5,8,1,8,7
07-01-2022,5,2,4,8,7
07-02-2022,9,5,6,4,3
07-03-2022,5,6,6,6,5
07-04-2022,4,5,4,2,7
07-05-2022,8,6,7,1,2
07-06-2022,8,2,7,5,2
07-07-2022,7,2,4,2,8
07-08-2022,9,8,6,9,8
07-09-2022,1,3,3,8,6
07-10-2022,5,8,2,5,5
07-11-2022,9,5,4,5,5
07-12-2022,1,3,3,4,5
07-13-2022,6,1,5,6,8
07-14-2022,1,8,7,7,1
07-15-2022,5,7,9,4,8
07-16-2022,8,3,9,1,7
07-17-2022,9,6,8,4,1
07-18-2022,2,5,3,1,7
07-19-2022,4,1,8,5,7
07-20-2022,9,3,2,3,6
07-21-2022,1,4,3,3,7
07-22-2022,4,3,7,2,9
07-23-2022,9,1,1,5,5
07-24-2022,6,1,5,8,9
07-25-2022,3,4,9,9,5
07-26-2022,9,8,2,1,7
07-27-2022,6,7,4,2,4
07-28-2022,2,3,9,4,5
07-29-2022,9,7,5,3,7
07-30-2022,6,9,6,4,4
07-31-2022,5,9,9,1,6
08-01-2022,8,6,8,4,7
08-02-2022,3,7,9,8,7
08-03-2022,2,5,7,6,5
08-04-2022,1,8,7,7,8
08-05-2022,9,5,5,5,7
08-06-2022,7,8,3,7,2
08-07-2022,1,3,6,8,8
08-08-2022,4,7,5,1,9
08-09-2022,6,4,3,5,3
08-10-2022,8,4,6,5,1
08-11-2022,8,4,5,8,5
08-12-2022,8,3,1,7,6
08-13-2022,5,8,2,6,4
08-14-2022,6,2,4,2,9
08-15-2022,9,4,6,5,2
08-16-2022,8,7,7,1,7
08-17-2022,6,8,4,3,3
08-18-2022,4,5,6,9,2
08-19-2022,1,9,2,4,1
08-20-2022,6,7,3,2,8
08-21-2022,3,9,9,1,4
08-22-2022,3,9,6,4,7
08-23-2022,4,9,8,9,3
08-24-2022,4,7,6,6,3
08-25-2022,2,1,8,3,7
08-26-2022,3,6,1,1,1
08-27-2022,7,9,4,5,1
08-28-2022,2,9,5,7,4
08-29-2022,7,6,5,9,2
08-30-2022,3,9,8,6,3
08-31-2022,2,6,1,8,9
09-01-2022,4,6,7,7,3
09-02-2022,1,4,6,7,7
09-03-2022,1,5,3,1,9
09-04-2022,2,4,2,4,8
09-05-2022,9,6,2,9,8
09-06-2022,7,2,5,1,2
09-07-2022,8,8,9,4,2
09-08-2022,1,1,8,1,3
09-09-2022,5,6,5,8,9
09-10-2022,8,5,7,4,5
09-11-2022,2,9,7,8,3
09-12-2022,9,2,1,8,6
09-13-2022,9,7,4,3,1
09-14-2022,2,2,5,3,7
09-15-2022,7,9,7,3,6
09-16-2022,1,2,5,2,4
09-17-2022,2,8,3,9,7
09-18-2022,7,3,5,4,3
09-19-2022,9,6,2,2,5
09-20-2022,8,3,2,2,3
09-21-2022,5,4,9,8,5
09-22-2022,6,2,5,7,8
09-23-2022,4,1,5,2,3
09-24-2022,5,1,2,9,5
09-25-2022,7,2,5,9,7
09-26-2022,6,3,9,5,4
09-27-2022,5,1,6,9,4
09-28-2022,2,6,4,3,2
09-29-2022,5,8,4,2,4
09-30-2022,5,1,1,7,6
10-01-2022,4,3,4,5,9
10-02-2022,4,3,2,1,6
10-03-2022,8,9,4,4,6
10-04-2022,3,5,7,2,2
10-05-2022,1,9,5,9,1
10-06-2022,8,1,3,2,2
10-07-2022,5,2,5,3,9
10-08-2022,7,3,3,4,5
10-09-2022,2,5,7,2,6
10-10-2022,9,9,6,3,6
10-11-2022,6,4,9,4,9
10-12-2022,2,4,7,2,7
10-13-2022,8,8,9,5,5
10-14-2022,3,1,5,2,8
10-15-2022,4,8,4,5,1
10-16-2022,1,4,6,9,8
10-17-2022,8,5,6,4,6
10-18-2022,3,3,5,4,5
10-19-2022,3,3,5,3,4
10-20-2022,4,9,2,6,4
10-21-2022,4,9,4,1,7
10-22-2022,4,5,2,6,2
10-23-2022,6,6,6,9,1
10-24-2022,8,7,2,8,6
10-25-2022,4,4,3,9,6
10-26-2022,8,6,3,3,7
10-27-2022,7,7,1,5,6
10-28-2022,7,5,2,2,1
10-29-2022,8,5,5,3,7
10-30-2022,8,4,3,1,8
10-31-2022,3,4,7,4,3
11-01-2022,6,7,9,3,5
11-02-2022,5,2,3,9,8
11-03-2022,3,7,8,5,5
11-04-2022,5,9,3,3,6
11-05-2022,7,3,3,8,7
11-06-2022,5,2,7,4,4
11-07-2022,7,9,9,7,4
11-08-2022,8,9,9,1,4
11-09-2022,8,1,1,2,6
11-10-2022,9,9,2,9,5
11-11-2022,7,5,9,8,9
11-12-2022,2,3,7,3,7
11-13-2022,7,7,1,1,4
11-14-2022,3,9,5,4,4
11-15-2022,5,7,1,4,8
11-16-2022,2,1,9,3,2
11-17-2022,1,7,4,8,2
11-18-2022,2,9,7,5,9
11-19-2022,6,8,9,4,3
11-20-2022,2,8,1,5,3
11-21-2022,7,4,6,2,9
11-22-2022,7,3,1,1,4
11-23-2022,4,9,7,2,7
11-24-2022,5,7,8,6,5
11-25-2022,1,1,8,8,9
11-26-2022,9,4,1,8,6
11-27-2022,3,4,9,8,4
11-28-2022,6,2,9,7,7
11-29-2022,1,2,7,8,1
11-30-2022,6,5,5,4,4
12-01-2022,2,8,4,1,5
12-02-2022,3,2,6,9,6
12-03-2022,8,4,9,6,9
12-04-2022,4,8,3,5,6
12-05-2022,3,3,7,7,7
12-06-2022,9,1,4,7,9
12-07-2022,7,4,3,5,6
12-08-2022,8,8,4,6,1
12-09-2022,7,1,3,2,2
12-10-2022,3,9,6,4,1
12-11-2022,4,5,6,1,5
12-12-2022,6,9,8,7,3
12-13-2022,1,3,5,6,5
12-14-2022,8,6,6,3,2
12-15-2022,6,1,5,5,1
12-16-2022,2,7,7,8,4
12-17-2022,3,1,7,7,3
12-18-2022,2,9,6,4,4
12-19-2022,7,7,1,5,3
12-20-2022,8,4,7,4,2
12-21-2022,4,8,3,9,3
12-22-2022,6,3,8,8,3
12-23-2022,1,6,5,7,6
12-24-2022,2,6,2,6,1
12-25-2022,4,1,6,3,7
12-26-2022,2,3,2,5,1
12-27-2022,9,9,4,7,3
12-28-2022,8,5,1,3,7
12-29-2022,3,4,3,8,4
12-30-2022,4,4,8,8,8
12-31-2022,3,5,2,2,7
01-01-2023,1,8,1,9,6
01-02-2023,9,6,7,8,9
01-03-2023,3,3,7,8,9
01-04-2023,2,3,5,3,2
01-05-2023,7,8,3,3,9
01-06-2023,9,3,9,2,3
01-07-2023,9,1,3,2,3
01-08-2023,2,7,4,8,5
01-09-2023,4,8,5,8,8
01-10-2023,6,3,3,3,2
01-11-2023,6,5,4,8,8
01-12-2023,2,4,3,1,5
01-13-2023,1,9,1,3,5
01-14-2023,7,7,5,3,5
01-15-2023,8,9,5,8,2
01-16-2023,9,8,3,4,4
01-17-2023,9,5,3,3,2
01-18-2023,4,7,8,1,1
01-19-2023,4,2,4,8,7
01-20-2023,4,4,6,9,6
01-21-2023,9,3,9,3,1
01-22-2023,5,4,7,5,5
01-23-2023,3,8,5,7,2
01-24-2023,9,7,6,9,9
01-25-2023,5,8,1,7,2
01-26-2023,7,8,9,4,8
01-27-2023,6,6,7,2,8
01-28-2023,2,4,4,8,4
01-29-2023,2,8,8,4,8
01-30-2023,7,8,5,1,1
01-31-2023,4,4,1,6,7
02-01-2023,9,9,4,8,5
02-02-2023,5,5,6,6,8
02-03-2023,7,8,8,9,9
02-04-2023,5,6,5,1,5
02-05-2023,4,1,3,8,3
02-06-2023,2,7,8,5,2
02-07-2023,4,4,5,8,8
02-08-2023,4,8,7,5,1
02-09-2023,6,8,1,1,4
02-10-2023,5,5,9,8,4
02-11-2023,8,2,1,5,2
02-12-2023,6,2,5,9,2
02-13-2023,8,4,3,8,9
02-14-2023,9,3,6,3,4
02-15-2023,5,6,1,8,2
02-16-2023,4,5,4,7,9
02-17-2023,8,3,2,9,1
02-18-2023,2,8,7,9,4
02-19-2023,8,7,7,2,1
02-20-2023,9,3,7,7,1
02-21-2023,2,9,2,3,4
02-22-2023,5,7,7,9,1
02-23-2023,2,1,6,8,4
02-24-2023,6,8,1,1,5
02-25-2023,2,2,4,1,8
02-26-2023,5,3,4,6,4
02-27-2023,1,9,8,9,5
02-28-2023,5,2,6,1,7
03-01-2023,7,1,6,4,9
03-02-2023,8,6,5,5,2
03-03-2023,9,7,1,9,8
03-04-2023,1,60,1,1,775
03-05-2023,5,105,9,9,417
03-06-2023,9,113,1,19,567
03-07-2023,3,108,5,47,1483
03-08-2023,3,50,9,18,1753
03-09-2023,5,241,5,14,1593
03-10-2023,4,141,7,23,646
03-11-2023,5,331,257,40,14930
03-12-2023,9,345,236,30,16573
03-13-2023,7,295,185,78,16407
03-14-2023,2,264,452,63,15790
03-15-2023,2,119,190,42,1314
03-16-2023,2,129,5,21,445
03-17-2023,8,163,1,21,355
03-18-2023,9,134,1,35,361
03-19-2023,4,80,1,15,457
03-20-2023,5,123,8,22,395
03-21-2023,5,125,2,17,278
03-22-2023,8,123,2,30,844
03-23-2023,8,852,64,61,2921
03-24-2023,5,290,160,48,1288
03-25-2023,8,121,154,6,391
03-26-2023,2,135,159,5,341
03-27-2023,8,99,122,35,1412
03-28-2023,9,177,124,62,1872
03-29-2023,3,170,3,74,1337
03-30-2023,1,125,9,30,588
03-31-2023,5,110,3,16,494
04-01-2023,3,97,1,5,333
04-02-2023,7,150,3,4,286
04-03-2023,6,155,11,23,378
04-04-2023,9,142,8,11,766
04-05-2023,6,235,11,53,6485
04-06-2023,9,323,1,30,4505
04-07-2023,5,148,4,16,1355
04-08-2023,5,132,13,10,776
04-09-2023,4,89,16,11,967
04-10-2023,9,104,1,14,645
04-11-2023,2,163,24,8,3023
04-12-2023,7,239,34,32,3860
04-13-2023,6,257,3,16,1675
04-14-2023,5,199,5,25,782
04-15-2023,1,198,2,7,1830
04-16-2023,1,91,1,7,841
04-17-2023,9,95,6,17,665
04-18-2023,1,141,8,2,414
04-19-2023,8,196,148,47,14563
04-20-2023,9,319,260,65,24857
04-21-2023,9,114,7,5,2044
04-22-2023,7,115,7,1,476
04-23-2023,8,123,1,1,398
04-24-2023,1,203,2,114,1728
04-25-2023,3,171,1,68,912
04-26-2023,6,152,1,85,749
04-27-2023,7,166,9,30,564
04-28-2023,6,206,4,7,365
04-29-2023,5,172,4,45,488
04-30-2023,4,181,1,4,468
05-01-2023,7,112,8,2,258
05-02-2023,8,155,7,37,494
05-03-2023,4,168,5,63,494
05-04-2023,1,192,3,103,1337
05-05-2023,5,167,5,37,2360
05-06-2023,4,166,7,26,753
05-07-2023,3,96,4,26,692
05-08-2023,6,104,1,46,471
05-09-2023,3,482,4,238,3255
05-10-2023,2,254,2,109,1343
05-11-2023,7,100,1,19,298
05-12-2023,5,182,2,7,2167
05-13-2023,1,98,5,18,581
05-14-2023,2,132,8,3,254
05-15-2023,5,120,1,1,786
05-16-2023,2,229,9,132,3732
05-17-2023,7,303,1,139,2925
05-18-2023,3,112,1,10,468
05-19-2023,9,77,6,5,98
05-20-2023,2,179,6,1,73
05-21-2023,9,112,1,1,64
05-22-2023,5,127,3,7,555
05-23-2023,9,139,6,73,767
05-24-2023,6,98,8,26,465
05-25-2023,5,265,2,190,1006
05-26-2023,8,243,7,170,2167
05-27-2023,7,177,3,52,769
05-28-2023,2,122,2,117,1134
05-29-2023,9,189,1,16,600
05-30-2023,2,226,5,92,1400
05-31-2023,5,142,1,22,650
06-01-2023,5,64,7,28,380
06-02-2023,6,111,7,38,415
06-03-2023,7,160,1,20,540
06-04-2023,7,132,1,2,700
06-05-2023,3,197,3,46,572
06-06-2023,9,146,11,46,1721
06-07-2023,5,276,40,21,1801
06-08-2023,3,172,33,15,1182
06-09-2023,4,191,43,57,1995
06-10-2023,5,362,39,52,10486
06-11-2023,7,219,32,14,5501
06-12-2023,9,233,9,84,3081
06-13-2023,8,233,3,13,1324
06-14-2023,4,114,6,3,669
06-15-2023,1,213,1,58,1910
06-16-2023,3,421,24,42,7003
06-17-2023,1,205,94,2,3159
06-18-2023,9,197,16,9,4315
06-19-2023,2,203,6,18,1533
06-20-2023,2,227,13,26,1243
06-21-2023,5,337,186,86,2601
06-22-2023,5,245,189,55,3873
06-23-2023,8,175,164,43,3041
06-24-2023,6,359,216,31,6215
06-25-2023,3,416,240,16,8853
06-26-2023,9,266,79,16,3150
06-27-2023,3,229,40,18,2184
06-28-2023,8,201,17,2,2431
06-29-2023,2,336,21,2,2338
06-30-2023,1,992,29,11,3274
07-01-2023,7,1097,117,39,6858
07-02-2023,9,670,94,21,8864
07-03-2023,4,1026,83,352,10535
07-04-2023,9,497,8,191,2418
07-05-2023,7,653,33,188,5840
07-06-2023,4,1059,84,98,11026
07-07-2023,4,834,58,103,7974
07-08-2023,6,958,87,158,7192
07-09-2023,1,878,94,134,9894
07-10-2023,6,891,74,145,10997
07-11-2023,4,569,5,80,5493
07-12-2023,2,495,6,45,3900
07-13-2023,8,460,2,73,2723
07-14-2023,1,506,2,28,1714
07-15-2023,7,670,9,27,2921
07-16-2023,2,716,1,6,2573
07-17-2023,1,707,8,39,2193
07-18-2023,1,869,2,67,7163
07-19-2023,4,954,3,58,17226
07-20-2023,5,596,3,74,6778
07-21-2023,9,764,3,111,3225
07-22-2023,7,623,1,83,5820
07-23-2023,1,576,3,52,5611
07-24-2023,5,795,1,171,3499
07-25-2023,2,655,3,46,2715
07-26-2023,1,554,2,128,1789
07-27-2023,4,586,2,106,2101
07-28-2023,4,652,1,64,2213
07-29-2023,9,558,9,57,3532
07-30-2023,1,557,7,1,2457
07-31-2023,9,703,7,43,3365
08-01-2023,3,656,3,66,2363
08-02-2023,1,628,5,85,1695
08-03-2023,6,751,59,112,6289
08-04-2023,6,754,44,93,7750
08-05-2023,3,605,38,47,5398
08-06-2023,8,698,21,97,5433
08-07-2023,4,405,6,48,1737
08-08-2023,6,441,1,67,2044
08-09-2023,6,372,6,46,1254
08-10-2023,5,620,5,86,3583
08-11-2023,3,518,1,69,2776
08-12-2023,2,516,3,50,1666
08-13-2023,3,504,2,203,3001
08-14-2023,3,526,5,109,2454
08-15-2023,2,531,1,123,1951
08-16-2023,4,451,9,86,2216
08-17-2023,4,459,8,174,2667
08-18-2023,6,450,1,76,2175
08-19-2023,6,297,2,21,1337
08-20-2023,3,324,3,20,2009
08-21-2023,9,307,4,68,1623
08-22-2023,8,577,54,75,5121
08-23-2023,9,823,61,74,18805
08-24-2023,4,815,89,103,18549
08-25-2023,9,788,72,111,12932
08-26-2023,4,508,9,28,7280
08-27-2023,8,266,1,1,3360
08-28-2023,1,244,8,43,1897
08-29-2023,2,349,6,108,4460
08-30-2023,2,384,17,113,3299
08-31-2023,7,967,301,291,8879
09-01-2023,3,1143,456,323,12346
09-02-2023,5,911,393,209,10935
09-03-2023,5,607,246,103,6441
09-04-2023,9,380,3,179,2395
09-05-2023,6,245,3,35,1231
09-06-2023,8,222,9,33,958
09-07-2023,6,276,6,120,1402
09-08-2023,5,210,1,56,1154
09-09-2023,5,225,7,60,866
09-10-2023,7,156,5,76,587
09-11-2023,7,158,5,51,1691
09-12-2023,8,182,8,60,1414
09-13-2023,8,114,5,118,1018
09-14-2023,7,120,9,33,714
09-15-2023,2,174,6,79,556
09-16-2023,5,127,1,13,474
09-17-2023,3,77,3,23,327
09-18-2023,9,100,5,41,609
09-19-2023,7,152,3,54,1054
09-20-2023,6,80,4,55,863
09-21-2023,4,86,1,46,869
09-22-2023,8,166,1,90,1159
09-23-2023,3,150,8,20,601
09-24-2023,4,166,8,28,1096
09-25-2023,7,125,9,54,1318
09-26-2023,1,101,3,41,977
09-27-2023,9,82,1,62,1086
09-28-2023,9,135,4,101,2249
09-29-2023,4,112,1,73,1739
09-30-2023,7,103,9,6,583
10-01-2023,3,75,3,3,440
10-02-2023,8,71,7,35,662
10-03-2023,7,97,4,56,1038
10-04-2023,1,142,6,36,753
10-05-2023,5,67,7,20,665
10-06-2023,5,123,6,19,440
10-07-2023,5,109,6,18,357
10-08-2023,9,67,5,9,278
10-09-2023,5,59,8,24,317
10-10-2023,1,79,8,24,438
10-11-2023,9,83,9,17,352
10-12-2023,6,94,8,21,409
10-13-2023,2,90,9,35,461
10-14-2023,3,73,1,24,418
10-15-2023,6,50,9,1,186
10-16-2023,4,115,3,20,704
10-17-2023,8,36,1,30,440
10-18-2023,9,79,1,13,292
10-19-2023,6,63,4,3,191
10-20-2023,2,54,5,8,171
10-21-2023,6,61,4,2,149
10-22-2023,1,102,8,5,181
10-23-2023,3,64,5,9,198
10-24-2023,2,83,8,1,204
10-25-2023,5,58,5,2,161
10-26-2023,6,106,2,2,451
10-27-2023,9,90,7,8,312
10-28-2023,4,101,3,8,301
10-29-2023,2,44,9,2,190
10-30-2023,3,117,4,7,348
10-31-2023,2,70,1,11,1897
11-01-2023,9,58,3,6,1318
11-02-2023,3,73,9,22,1808
11-03-2023,8,139,6,57,2085
11-04-2023,6,71,2,16,1466
11-05-2023,6,93,4,8,817
11-06-2023,9,53,7,6,1202
11-07-2023,7,114,1,6,993
11-08-2023,7,133,45,64,2641
11-09-2023,7,250,104,147,6196
11-10-2023,6,112,91,47,4523
11-11-2023,8,142,73,29,3893
11-12-2023,4,95,38,29,2867
11-13-2023,9,90,7,46,1495
11-14-2023,8,183,5,154,2839
11-15-2023,3,118,4,45,2847
11-16-2023,6,76,8,31,2225
11-17-2023,2,147,2,48,1311
11-18-2023,7,80,8,6,992
11-19-2023,2,74,6,4,553
11-20-2023,9,94,7,27,683
11-21-2023,3,79,5,62,1545
11-22-2023,7,62,5,23,872
11-23-2023,9,122,30,100,2963
11-24-2023,1,196,29,100,2908
11-25-2023,3,350,40,117,3145
11-26-2023,5,124,34,123,2959
11-27-2023,9,76,6,19,975
11-28-2023,1,81,2,62,499
11-29-2023,1,56,4,34,1448
11-30-2023,7,120,1,19,681
12-01-2023,8,72,3,13,643
12-02-2023,2,63,3,33,527
12-03-2023,8,142,1,2,2875
12-04-2023,3,79,6,2,1503
12-05-2023,9,74,8,41,823
12-06-2023,7,113,1,37,1105
12-07-2023,1,75,1,77,892
12-08-2023,3,70,4,10,534
12-09-2023,8,113,2,14,515
12-10-2023,8,124,9,1,733
12-11-2023,5,127,3,13,1115
12-12-2023,8,193,46,115,7462
12-13-2023,5,225,45,110,12033
12-14-2023,7,223,55,99,10686
12-15-2023,9,136,50,70,6485
12-16-2023,4,219,1,16,737
12-17-2023,5,179,5,51,1424
12-18-2023,2,279,8,28,1205
12-19-2023,8,258,4,45,1588
12-20-2023,4,229,5,88,1686
12-21-2023,2,370,1,98,2559
12-22-2023,4,589,32,234,10913
12-23-2023,8,501,36,46,8052
12-24-2023,8,218,7,8,2531
12-25-2023,6,280,2,94,4150
12-26-2023,2,556,195,167,19086
12-27-2023,2,660,180,470,16069
12-28-2023,4,807,340,680,29696
12-29-2023,4,987,566,456,51243
12-30-2023,6,1714,1447,450,139744
12-31-2023,9,550,14,90,3041
01-01-2024,4,363,4,49,4025
01-02-2024,9,215,2,38,1483
01-03-2024,3,150,6,49,1510
01-04-2024,8,115,6,86,1386
01-05-2024,6,77,6,58,1547
01-06-2024,6,107,5,16,869
01-07-2024,4,119,3,1,593
01-08-2024,2,61,2,31,1086
01-09-2024,4,142,1,63,1440
01-10-2024,9,118,4,31,1185
01-11-2024,8,164,1,22,1917
01-12-2024,2,161,3,24,993
01-13-2024,8,84,2,10,1098
01-14-2024,6,79,2,2,2082
01-15-2024,9,132,4,5,2967
01-16-2024,1,122,1,39,2843
01-17-2024,7,182,6,50,4340
01-18-2024,5,79,2,12,1943
01-19-2024,2,69,8,20,1202
01-20-2024,1,85,1,12,983
01-21-2024,8,95,9,1,1117
01-22-2024,7,104,4,15,904
01-23-2024,2,94,1,25,1131
01-24-2024,6,93,6,97,3560
01-25-2024,9,96,2,35,2528
01-26-2024,6,150,1,34,1872
01-27-2024,7,97,6,30,2316
01-28-2024,9,66,3,5,2282
01-29-2024,7,130,5,41,3122
01-30-2024,6,138,2,20,3461
01-31-2024,3,136,2,16,4443
02-01-2024,3,92,4,31,2316
02-02-2024,4,136,8,24,2542
02-03-2024,3,111,7,10,1756
02-04-2024,5,65,9,2,1251
02-05-2024,5,105,3,4,1601
02-06-2024,7,105,8,2,1535
02-07-2024,3,83,4,26,2264
02-08-2024,7,147,9,32,1698
02-09-2024,1,114,4,28,2267
02-10-2024,6,182,3,6,4391
02-11-2024,5,68,1,5,1388
02-12-2024,7,196,7,1,1242
02-13-2024,8,97,6,3,1818
02-14-2024,8,146,2,38,1860
02-15-2024,7,168,4,30,1227
02-16-2024,8,158,6,42,1835
02-17-2024,8,124,7,8,926
02-18-2024,3,159,2,10,1068
02-19-2024,8,177,7,24,3067
02-20-2024,9,115,5,11,1877
02-21-2024,2,87,5,8,1404
02-22-2024,1,155,5,1,764
02-23-2024,3,74,1,32,980
02-24-2024,9,184,2,19,3269
02-25-2024,5,49,2,5,2027
02-26-2024,1,256,3,39,1554
02-27-2024,1,167,8,16,1386
02-28-2024,2,58,1,1,619
02-29-2024,5,66,1,11,1178
03-01-2024,3,64,2,7,613
03-02-2024,3,55,1,9,706
03-03-2024,3,58,1,6,322
03-04-2024,9,186,2,20,1349
03-05-2024,4,77,1,6,589
03-06-2024,6,91,1,10,1709
03-07-2024,1,93,7,2,775
03-08-2024,3,111,4,8,699
03-09-2024,1,90,3,3,1418
03-10-2024,7,75,1,5,846
03-11-2024,6,74,4,11,864
03-12-2024,7,113,5,20,1855
03-13-2024,2,169,7,11,2584
03-14-2024,2,263,56,44,7113
03-15-2024,7,297,33,21,5142
03-16-2024,6,388,36,25,4969
03-17-2024,9,316,32,16,4025
03-18-2024,7,186,2,16,1875
03-19-2024,1,244,7,10,2831
03-20-2024,9,115,9,2,1220
03-21-2024,3,203,5,1,1198
03-22-2024,1,581,82,18,9477
03-23-2024,5,446,48,20,8046
03-24-2024,2,374,45,18,7509
03-25-2024,6,408,40,84,7216
03-26-2024,5,218,6,56,1599
03-27-2024,8,2511,8,628,7813
03-28-2024,3,538,9,62,1632
03-29-2024,6,223,8,12,640
03-30-2024,7,214,9,4,470
03-31-2024,1,170,1,7,403
04-01-2024,2,103,9,6,385
04-02-2024,8,85,3,1,601
04-03-2024,1,142,5,2,620
04-04-2024,5,229,25,9,4655
04-05-2024,9,304,29,14,3225
04-06-2024,6,368,35,6,4090
04-07-2024,1,328,27,12,4003
04-08-2024,4,259,14,5,2291
04-09-2024,1,126,2,11,568
04-10-2024,2,117,4,9,1023
04-11-2024,5,10277,1,179,3607
04-12-2024,7,2344,8,25,1026
04-13-2024,3,794,5,24,531
04-14-2024,4,284,6,9,763
04-15-2024,2,188,9,10,354
04-16-2024,9,71,2,2,260
04-17-2024,3,86,9,2,242
04-18-2024,8,83,8,13,829
