Nom,Pays,Note,Type de séjour,Chambre,Durée,Date du commentaire,Commentaire,Source,Country,Type_of_stay,Room,Duration,Comments,Score,Max_Rating,Sentiment,d4r55,fzvQIb,Date_Avis,Avis,Traduction,Nombre_Avis,Autre,w8nwRe,dSlJg,znYl0,dSlJg 2,znYl0 2,nM6d2c,DZSIDd,wiI7pd 2,Hzvxle,pkWtMe,fontBodySmall 3,fontBodySmall 4
,,,Couple,Chambre Double Supérieure - Vue sur Mer,2 nuits,26 septembre 2022,"Un bel soggiorno
L'accoglienza eccellente
Traduction : Excellent séjour, accueil formidable.",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Léna (France,8.0,Couple,Chambre Double vue sur Ville,2 nuits,26 novembre 2022,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,,Couple,Chambre Double vue sur Ville,2 nuits,7 décembre 2022,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,,Couple,Chambre Double Supérieure - Vue sur Mer,8 nuits,8 janvier 2024,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Mohamed (Italie,4.0,Couple,Chambre Double Supérieure - Vue sur Mer,3 nuits,31 janvier 2024,"Bello
La struttura è bella ma la gestione zero. Posizione.
Traduction : L’établissement est beau mais la gestion est nulle. Bon emplacement.",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Bastien (Espagne,7.0,Couple,Chambre Double Supérieure - Vue sur Mer,4 nuits,22 mars 2024,"Suffisant pour un séjour à Bizerte
Le personnel très aimable et aidant. Chambre grande et confortable. Piscine intérieure super.
Le wifi ne fonctionne pas dans les chambres. Salle de sport payante et pas entretenue.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Jack (Royaume-Uni,2.0,Couple,Chambre Double vue sur Ville,2 nuits,9 avril 2024,"Seemed ok till we didn’t want a taxi anymore and the staff become a nightmare
Close to the beach
Staff, booked a taxi through the hotel and paid in advance. Wanted to cancel it and was told we couldn’t, and they didn’t know where our money was as their colleague had booked it.
Traduction : Proche de la plage. Le personnel a mal réagi quand on a voulu annuler un taxi réservé et payé d’avance. Ils ne savaient pas où était notre argent.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Elizabeth (Royaume-Uni,8.0,Couple,Chambre Double vue sur Ville,2 nuits,12 avril 2024,"Bon buffet, chambre confortable, personnel aimable.
Ensemble un peu fatigué, mériterait une rénovation.",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Daniël (Pays-Bas,9.0,Couple,Chambre Triple - Vue sur Ville,2 nuits,13 avril 2024,Pas de commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Mohamed (Arabie Saoudite,7.0,Couple,Chambre Double Supérieure - Vue sur Mer,3 nuits,16 avril 2024,"Bonne localisation, belle vue, iftar satisfaisant.
Salle de sport et petit-déjeuner décevants.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Johanna (Allemagne,9.0,Couple,Chambre Double Supérieure - Vue sur Mer,4 nuits,25 avril 2024,"Chambre spacieuse avec balcon, vue mer magnifique, très calme.
Chasse d’eau difficile à utiliser.",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Borjaeugui (Espagne,9.0,Couple,Chambre Double vue sur Ville,1 nuit,22 juin 2024,"Très bien situé, proche du centre et en bord de plage, belle piscine.
Petit déjeuner basique, manque d’équipements.",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Roberto (Italie,10.0,Couple,Chambre Double vue sur Ville,2 nuits,29 juin 2024,"Personnel très courtois, structure propre et très bien située.
Aucun point négatif à signaler.",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Sihem (France,1.0,Couple,Chambre Double vue sur Ville,2 nuits,4 juillet 2024,"Rien.
Séjour très décevant, je ne reviendrai pas.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Elyes (France,1.0,Couple,Chambre Double Supérieure - Vue sur Mer,1 nuit,6 juillet 2024,"Présence de cafards dans la salle de bain (10 tués).
Expérience choquante, hygiène inadmissible.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Ryad (Libye,5.0,Couple,Chambre Double Supérieure - Vue sur Mer,3 nuits,9 juillet 2024,Pas de commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Rismawati (Indonésie,2.0,Couple,Chambre Double vue sur Ville,1 nuit,10 juillet 2024,"Emplacement pratique, mais chambre sale, pas d’équipements (eau, café).
Mauvais service, accueil froid, discrimination perçue.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Imed,France,9.0,Couple,Chambre Double Supérieure - Vue sur Mer,2 nuits,18 juillet 2024,"Séjour très agréable
Le personnel sympathique, parking en face de l’entrée, belle vue et piscine agréable. Petit déjeuner très correct.
Rien",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Abdesselem,France,7.0,Couple,Chambre Double vue sur Ville,3 nuits,22 juillet 2024,"Bien
Ce client n'a pas laissé de commentaire.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Khalil,Canada,3.0,Couple,Chambre Double Supérieure - Vue sur Mer,2 nuits,23 juillet 2024,"Assez médiocre
Ce client n'a pas laissé de commentaire.",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Pascale,France,6.0,Couple,Chambre Double vue sur Ville,5 nuits,30 juillet 2024,"Assez bien
La piscine est bien, le restaurant aussi, mais les chambres ne sont pas top.
2 personnes ont trouvé ce commentaire utile.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Ayadi,Tunisie,8.0,Couple,Suite 1 Chambre,3 nuits,31 juillet 2024,"Très bien
Ce client n'a pas laissé de commentaire.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,,Couple,Suite 1 Chambre,2 nuits,5 août 2024,"Exceptionnel
Nous avons passé un très bon moment. Endroit très paisible, propre et élégant. Le personnel est discret et à l'écoute de nos désirs. Le restaurant est très propre, avec un buffet à volonté de bonne qualité et frais. Grand merci au chef et à la femme de ménage d'une gentillesse inégalée ailleurs. Hôtel digne de ses 4 étoiles, à recommander pour un séjour de noces.",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,,Couple,Chambre Double vue sur Ville,7 nuits,11 août 2024,"Exceptionnel
Ce client n'a pas laissé de commentaire.",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Yasmine,France,5.0,Couple,Chambre Double vue sur Ville,3 nuits,15 août 2024,"Passable
Ce client n'a pas laissé de commentaire.",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Lisa,Allemagne,5.0,Voyageur individuel,Chambre Double Supérieure - Vue sur Mer,2 nuits,30 juillet 2024,"Gut aber das gerauche und die Renovierungsbedürftigkeit überschatten alles
Traduction :
Bien, mais la fumée et la nécessité de rénovation gâchent tout.
La localisation et la proximité de la plage étaient bonnes. Le buffet du petit déjeuner était gigantesque, avec une grande variété. Le personnel était très sympathique.
Cependant, partout où l'on allait, il y avait de la fumée. On peut même fumer dans les chambres. Tout était très vieux et aurait besoin de rénovations. La lumière dans ma chambre ne fonctionnait pas, seul un petit veilleuse était allumée. Il y avait un petit réfrigérateur dans la chambre qui ne se fermait pas correctement et brillait toute la nuit.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Essam,Égypte,1.0,Voyageur individuel,Chambre Double vue sur Ville,2 nuits,10 octobre 2022,"Mauvais
Ce client n'a pas laissé de commentaire.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Mohamed,Tunisie,5.0,Voyageur individuel,Chambre Double vue sur Ville,1 nuit,14 février 2024,"Passable
Ce client n'a pas laissé de commentaire.",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Apostolos,Grèce,6.0,Voyageur individuel,Chambre Double vue sur Ville,3 nuits,21 mars 2024,"Agréable
Le personnel était très sympathique. Pendant l'hiver, l'hôtel fonctionnait à moitié. La chambre était assez sale, tout comme la salle de bain, avec des déchets partout. Le premier jour, alors que j'étais allongé, les employés ont ouvert la porte sans frapper pour récupérer un fauteuil. Tout était très négligé.
Traduction :
The staff was very polite, but during the winter when I visited, the hotel was only partially operational. The room was quite dirty, as well as the bathroom. There were garbage everywhere. On the first day, while I was lying down, the staff opened the door without knocking to take a chair. Everything seemed very improvised.",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Jonathan,Royaume-Uni,1.0,Voyageur individuel,Chambre Double Supérieure - Vue sur Mer,1 nuit,9 avril 2024,"Avoid!!!
Traduction :
À éviter!!!
Rien.
Le personnel était très impoli. Ils ont essayé de me facturer deux fois ma chambre. Nourriture de mauvaise qualité.
1 personne a trouvé ce commentaire utile.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Joe,Royaume-Uni,7.0,Voyageur individuel,Chambre Double Supérieure - Vue sur Mer,6 nuits,10 avril 2024,"Lovely staff, great location, comfortable stay
Bon séjour, personnel agréable, situation excellente, chambre confortable. La nourriture était bonne, le personnel très sympathique, et l'aire de la piscine était excellente.
La connexion Wi-Fi était assez faible, sauf dans le hall de l'hôtel.
L'hôtel était annoncé avec un sauna, mais je n'ai pas vu ou entendu parler de son utilisation. Les installations de gym étaient très pauvres.
Paysage naturel près de l'hôtel.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Kevin,Royaume-Uni,8.0,Voyageur individuel,Chambre Triple - Vue sur Mer,3 nuits,16 avril 2024,"Good stay if slightly expensive
Bon séjour, mais un peu cher.
Excellente situation, piscine géniale, chambres sympas. Cependant, la nourriture était chère et moyenne.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Ilaria,Italie,4.0,Voyageur individuel,Chambre Double vue sur Ville,1 nuit,28 avril 2024,"Décevant
Lenzuola sporche, tovaglie al tavolo sporche, bagno sporco.
Traduction :
Draps sales, nappes sales à la table, salle de bain sale.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Didier,France,9.0,Voyageur individuel,Chambre Double vue sur Ville,2 nuits,5 mai 2024,"Top je reviendrai en septembre...
L'accueil était parfait, comme toujours en Tunisie. Seuls les fumeurs dans le bar m'ont dérangé, car en France, nous avons perdu l'habitude de la fumée dans les lieux publics. J'avais oublié à quel point cela peut être gênant quand on n'est pas fumeur.",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Zakaria (Maroc,8.0,Voyageur solo,Chambre Double vue sur Ville,,14 avril 2025,Aucun commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Jamel (France,7.0,Voyageur solo,Chambre Double Supérieure - Vue sur Mer,,15 avril 2025,Aucun commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Farid (France,8.0,Voyageur solo,Chambre Double Supérieure - Vue sur Mer,,17 avril 2025,Aucun commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Alice (France,9.0,En couple,Chambre Double vue sur Ville,,19 avril 2025,"Très bon rapport qualité-prix, personnel agréable, chambre propre.
Le petit déjeuner pourrait être un peu plus varié.",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Nicolas (France,6.0,En couple,Chambre Double vue sur Ville,,21 avril 2025,"Bien situé mais trop de bruit la nuit, mauvaise insonorisation.
Literie confortable, mais salle de bain ancienne.",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Nesrine (France,6.0,Famille,Double vue sur Ville,2 nuits,19 septembre 2022,Le ménage laisse à désirer.,unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Moutia,6.0,Famille,Double Supérieure - Vue sur Mer,4 nuits,12 octobre 2022,Aucun commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Christophe (France,7.0,Famille,Double vue sur Ville,1 nuit,30 novembre 2022,Aucun commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,7.0,Famille,Double vue sur Ville,5 nuits,20 février 2024,"Excellent, hôtel très bien situé, personnels très agréables et professionnels. Merci pour ce séjour. Je recommande vivement cet hôtel.",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Rekaya (Allemagne,9.0,Famille,Double Supérieure - Vue sur Mer,3 nuits,20 avril 2024,"L’équipement est un peu ancien, mais très propre. Le service était excellent, personnel toujours aimable et très attentif. Emplacement central avec parkings disponibles.",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Martine (France,8.0,Famille,Triple - Vue sur Mer,2 nuits,4 juillet 2024,Aucun commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Thierry (France,8.0,Famille,Double Supérieure - Vue sur Mer,5 nuits,12 juillet 2024,L’amabilité du personnel.,unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Valeria (Italie,8.0,Famille,Double Supérieure - Vue sur Mer,2 nuits,12 juillet 2024,"Très accueillant et élégant, staff professionnel et efficace. La structure est ancienne, non rénovée. La baignoire n’est pas accessible aux personnes à mobilité réduite. L’établissement devrait être plus inclusif. Le Wi-Fi ne fonctionnait pas bien.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,7.0,Famille,Double Supérieure - Vue sur Mer,2 nuits,16 juillet 2024,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Ophélie (France,4.0,Famille,Triple - Vue sur Mer,2 nuits,20 juillet 2024,"La localisation. La propreté, les équipements bas de gamme et le petit déjeuné très moyen.",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,7.0,Famille,Double Supérieure - Vue sur Mer,12 nuits,22 juillet 2024,"Top top, personnel accueillant, propreté irréprochable, infrastructures nickel, buffet à volonté très varié, aliments frais. Vraiment rien à redire, je recommande vivement l’hôtel. Bizerte est l'endroit idéal pour vos vacances !",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,7.0,Famille,Double vue sur Ville,2 nuits,27 juillet 2024,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Mourad (France,5.0,Famille,Triple - Vue sur Ville,1 nuit,29 juillet 2024,Rien. Tout limite insalubre.,unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Mihaela (Roumanie,7.0,Famille,Triple - Vue sur Ville,1 nuit,31 juillet 2024,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,7.0,Famille,Double vue sur Ville,6 nuits,3 août 2024,L’accueil. RAS.,unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Nabil (Tunisie,7.0,Famille,Triple - Vue sur Ville,2 nuits,7 août 2024,Jätt bra men strand smutsigt. Strand lång borta. (Très bien mais plage sale et éloignée.),unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Benabdallah (France,6.0,Famille,Double vue sur Ville,2 nuits,9 août 2024,"La piscine intérieure. Je n’ai pas aimé la moquette dans la chambre et le petit déjeuner était ""pote"".",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Bochra (France,7.0,Famille,Double vue sur Ville,1 nuit,16 août 2024,L’emplacement. Petit déjeuner très modeste.,unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,8.0,Famille,Suite 1 Chambre,12 nuits,18 août 2024,"A RECOMMANDER SUPER HOTEL PROPRE ET PERSONNEL AU TOP
Excellent, personnel agréable et très professionnel.
Réponse de l'hôtel :
Merci beaucoup pour votre excellent retour! Nous sommes...",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Kouais (Tunisie,7.0,Famille,Chambre Triple - Vue sur Ville,4 nuits,9 septembre 2024,"C'était correct
Le petit déjeuner n'était pas varié. Les sanitaires (flexible, baignoire, fuite d'eau...) étaient problématiques.
Réponse de l'hôtel :
Merci d'avoir pris le temps de partager votre avis....",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Mohamad (Liban,2.0,Famille,Chambre Double vue sur Ville,5 nuits,17 septembre 2024,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
