date,gender,Age_range,country,followers
02/12/22,Male,25-34,France,1
02/12/22,Male,25-34,Tunisia,2
02/12/22,Male,35-44,France,1
02/12/22,Male,35-44,Tunisia,1
02/13/22,Female,18-24,France,4
02/13/22,Female,18-24,Other,4
02/13/22,Female,18-24,Tunisia,13
02/13/22,Female,25-34,France,11
02/13/22,Female,25-34,Other,2
02/13/22,Female,25-34,Tunisia,25
02/13/22,Female,35-44,France,5
02/13/22,Female,35-44,Other,1
02/13/22,Female,35-44,Tunisia,14
02/13/22,Female,45+,France,2
02/13/22,Female,45+,Other,1
02/13/22,Female,45+,Tunisia,4
02/13/22,Male,18-24,France,2
02/13/22,Male,18-24,Other,1
02/13/22,Male,18-24,Tunisia,10
02/13/22,Male,25-34,France,7
02/13/22,Male,25-34,Other,2
02/13/22,Male,25-34,Tunisia,10
02/13/22,Male,35-44,France,3
02/13/22,Male,35-44,Other,2
02/13/22,Male,35-44,Tunisia,4
02/13/22,Male,45+,France,1
02/13/22,Male,45+,Tunisia,3
02/14/22,Female,18-24,France,7
02/14/22,Female,18-24,Tunisia,5
02/14/22,Female,25-34,France,8
02/14/22,Female,25-34,Other,5
02/14/22,Female,25-34,Tunisia,8
02/14/22,Female,35-44,France,4
02/14/22,Female,35-44,Other,2
02/14/22,Female,35-44,Tunisia,6
02/14/22,Female,45+,France,4
02/14/22,Female,45+,Tunisia,5
02/14/22,Male,18-24,France,3
02/14/22,Male,18-24,Tunisia,6
02/14/22,Male,25-34,France,5
02/14/22,Male,25-34,Tunisia,8
02/14/22,Male,35-44,France,3
02/14/22,Male,35-44,Tunisia,3
02/14/22,Male,45+,Tunisia,3
02/15/22,Female,18-24,France,5
02/15/22,Female,18-24,Other,1
02/15/22,Female,18-24,Tunisia,8
02/15/22,Female,25-34,France,4
02/15/22,Female,25-34,Other,1
02/15/22,Female,25-34,Tunisia,11
02/15/22,Female,35-44,France,4
02/15/22,Female,35-44,Other,1
02/15/22,Female,35-44,Tunisia,4
02/15/22,Female,45+,France,2
02/15/22,Female,45+,Tunisia,3
02/15/22,Male,18-24,France,4
02/15/22,Male,18-24,Tunisia,6
02/15/22,Male,25-34,France,3
02/15/22,Male,25-34,Other,1
02/15/22,Male,25-34,Tunisia,9
02/15/22,Male,35-44,France,2
02/15/22,Male,35-44,Other,1
02/15/22,Male,35-44,Tunisia,4
02/15/22,Male,45+,France,1
02/15/22,Male,45+,Other,1
02/15/22,Male,45+,Tunisia,5
02/16/22,Female,18-24,France,4
02/16/22,Female,18-24,Other,4
02/16/22,Female,18-24,Tunisia,13
02/16/22,Female,25-34,France,1
02/16/22,Female,25-34,Other,2
02/16/22,Female,25-34,Tunisia,9
02/16/22,Female,35-44,France,4
02/16/22,Female,35-44,Tunisia,12
02/16/22,Female,45+,France,4
02/16/22,Female,45+,Tunisia,3
02/16/22,Male,18-24,France,3
02/16/22,Male,18-24,Tunisia,5
02/16/22,Male,25-34,France,8
02/16/22,Male,25-34,Tunisia,5
02/16/22,Male,35-44,Tunisia,1
02/16/22,Male,45+,France,4
02/16/22,Male,45+,Tunisia,2
02/17/22,Female,18-24,France,1
02/17/22,Female,25-34,France,1
02/17/22,Female,25-34,Tunisia,2
02/17/22,Female,35-44,Tunisia,1
02/17/22,Female,45+,France,1
02/17/22,Female,45+,Other,1
02/17/22,Male,18-24,Tunisia,1
02/17/22,Male,25-34,Tunisia,1
02/17/22,Male,35-44,Tunisia,1
02/18/22,Female,18-24,France,1
02/18/22,Female,25-34,Tunisia,1
02/19/22,Female,18-24,Tunisia,1
02/19/22,Female,45+,Tunisia,1
02/20/22,Male,18-24,France,1
02/21/22,Female,18-24,Other,1
02/21/22,Female,25-34,Tunisia,1
02/21/22,Male,25-34,Tunisia,2
02/22/22,Female,18-24,Tunisia,1
02/22/22,Female,25-34,Other,1
02/22/22,Male,18-24,France,1
02/22/22,Male,35-44,Tunisia,1
02/23/22,Female,18-24,Tunisia,1
02/23/22,Female,25-34,France,1
02/23/22,Female,35-44,Tunisia,1
02/24/22,Female,25-34,Tunisia,1
02/24/22,Male,18-24,Other,1
02/25/22,Female,25-34,Tunisia,1
02/25/22,Male,25-34,France,1
02/25/22,Male,25-34,Other,1
02/25/22,Male,35-44,France,1
02/26/22,Female,18-24,Other,1
02/26/22,Female,18-24,Tunisia,1
02/26/22,Female,25-34,France,1
02/26/22,Male,25-34,Tunisia,1
02/28/22,Female,25-34,Tunisia,1
02/28/22,Female,45+,France,1
02/28/22,Female,45+,Tunisia,1
02/28/22,Male,18-24,France,1
02/28/22,Male,18-24,Tunisia,2
02/28/22,Male,25-34,Tunisia,1
02/28/22,Male,35-44,Tunisia,3
03/01/22,Female,18-24,Tunisia,1
03/01/22,Female,45+,Tunisia,1
03/01/22,Male,18-24,Tunisia,2
03/01/22,Male,35-44,Tunisia,1
03/04/22,Female,18-24,Tunisia,1
03/05/22,Female,25-34,Tunisia,1
03/05/22,Female,35-44,Tunisia,1
03/06/22,Male,35-44,Tunisia,1
03/07/22,Female,18-24,Tunisia,1
03/07/22,Female,25-34,France,2
03/07/22,Female,45+,France,1
03/07/22,Male,18-24,France,1
03/07/22,Male,18-24,Tunisia,1
03/07/22,Male,25-34,France,1
03/08/22,Female,45+,Tunisia,2
03/08/22,Male,18-24,Tunisia,1
03/08/22,Male,25-34,Other,2
03/08/22,Male,25-34,Tunisia,1
03/09/22,Female,18-24,France,1
03/09/22,Female,18-24,Other,1
03/09/22,Female,18-24,Tunisia,1
03/09/22,Female,25-34,Tunisia,2
03/09/22,Female,35-44,Tunisia,1
03/09/22,Female,45+,France,1
03/09/22,Male,35-44,France,1
03/09/22,Male,35-44,Tunisia,1
03/10/22,Male,18-24,France,1
03/11/22,Female,25-34,France,1
03/11/22,Female,35-44,Tunisia,2
03/11/22,Male,18-24,France,1
03/11/22,Male,25-34,Tunisia,1
03/12/22,Female,18-24,France,1
03/12/22,Female,25-34,France,1
03/12/22,Female,25-34,Tunisia,4
03/12/22,Male,18-24,Tunisia,1
03/12/22,Male,25-34,France,2
03/12/22,Male,25-34,Tunisia,1
03/13/22,Female,18-24,France,1
03/13/22,Female,35-44,Tunisia,1
03/13/22,Male,18-24,Other,1
03/13/22,Male,18-24,Tunisia,1
03/13/22,Male,25-34,Other,1
03/13/22,Male,25-34,Tunisia,1
03/13/22,Male,45+,Tunisia,1
03/14/22,Female,18-24,France,1
03/14/22,Female,18-24,Tunisia,1
03/14/22,Female,25-34,Tunisia,3
03/14/22,Female,35-44,France,1
03/14/22,Female,45+,Other,1
03/14/22,Male,25-34,Tunisia,1
03/15/22,Female,18-24,France,1
03/15/22,Female,18-24,Other,1
03/15/22,Female,18-24,Tunisia,1
03/15/22,Male,18-24,Other,1
03/15/22,Male,25-34,Tunisia,3
03/15/22,Male,45+,France,1
03/15/22,Male,45+,Tunisia,1
03/16/22,Female,18-24,Tunisia,1
03/16/22,Male,18-24,Tunisia,1
03/16/22,Male,25-34,France,1
03/16/22,Male,25-34,Tunisia,1
03/17/22,Female,18-24,France,1
03/17/22,Female,18-24,Tunisia,1
03/17/22,Female,25-34,France,1
03/17/22,Female,25-34,Other,1
03/17/22,Female,25-34,Tunisia,1
03/17/22,Male,25-34,Tunisia,2
03/17/22,Male,35-44,Tunisia,1
03/18/22,Female,18-24,France,1
03/18/22,Female,25-34,Tunisia,1
03/18/22,Female,35-44,France,1
03/18/22,Female,35-44,Tunisia,2
03/18/22,Male,18-24,France,1
03/18/22,Male,25-34,Tunisia,2
03/18/22,Male,35-44,France,1
03/18/22,Male,35-44,Tunisia,1
03/19/22,Female,18-24,Tunisia,5
03/19/22,Female,25-34,France,1
03/19/22,Female,25-34,Other,1
03/19/22,Female,25-34,Tunisia,2
03/19/22,Female,35-44,Other,1
03/19/22,Female,45+,Tunisia,1
03/19/22,Male,18-24,France,1
03/19/22,Male,18-24,Tunisia,2
03/19/22,Male,25-34,France,5
03/19/22,Male,35-44,Tunisia,2
03/19/22,Male,45+,Tunisia,2
03/20/22,Female,25-34,Tunisia,3
03/20/22,Female,35-44,Tunisia,2
03/20/22,Female,45+,Tunisia,1
03/20/22,Male,18-24,France,1
03/20/22,Male,18-24,Other,1
03/20/22,Male,25-34,Tunisia,2
03/20/22,Male,45+,France,1
03/21/22,Female,18-24,France,2
03/21/22,Female,18-24,Tunisia,1
03/21/22,Female,25-34,France,1
03/21/22,Female,25-34,Other,1
03/21/22,Female,25-34,Tunisia,4
03/21/22,Female,35-44,France,1
03/21/22,Male,18-24,France,1
03/21/22,Male,25-34,Tunisia,1
03/21/22,Male,35-44,France,1
03/21/22,Male,45+,France,2
03/22/22,Female,25-34,Tunisia,1
03/22/22,Female,35-44,France,1
03/22/22,Male,25-34,Tunisia,1
03/23/22,Female,18-24,Tunisia,1
03/23/22,Female,25-34,Tunisia,2
03/23/22,Male,18-24,Tunisia,1
03/23/22,Male,25-34,France,1
03/23/22,Male,35-44,Tunisia,1
03/24/22,Female,18-24,Tunisia,1
03/24/22,Female,35-44,Other,1
03/24/22,Female,45+,Other,1
03/24/22,Male,18-24,France,1
03/24/22,Male,18-24,Tunisia,1
03/25/22,Female,18-24,France,3
03/25/22,Female,18-24,Other,1
03/25/22,Female,18-24,Tunisia,3
03/25/22,Female,25-34,Tunisia,3
03/25/22,Female,35-44,France,2
03/25/22,Female,35-44,Tunisia,2
03/25/22,Female,45+,Tunisia,2
03/25/22,Male,25-34,Tunisia,1
03/25/22,Male,35-44,Tunisia,1
03/26/22,Female,18-24,France,2
03/26/22,Female,18-24,Other,1
03/26/22,Female,18-24,Tunisia,2
03/26/22,Female,25-34,France,1
03/26/22,Female,25-34,Tunisia,4
03/26/22,Female,35-44,Other,1
03/26/22,Female,35-44,Tunisia,2
03/26/22,Female,45+,France,1
03/26/22,Male,18-24,Tunisia,1
03/26/22,Male,25-34,Tunisia,1
03/26/22,Male,35-44,Tunisia,2
03/27/22,Female,18-24,France,1
03/27/22,Female,18-24,Tunisia,1
03/27/22,Female,25-34,France,1
03/27/22,Female,25-34,Tunisia,1
03/27/22,Female,35-44,France,1
03/27/22,Female,35-44,Tunisia,2
03/27/22,Female,45+,Tunisia,1
03/27/22,Male,18-24,Tunisia,2
03/27/22,Male,45+,Other,1
03/28/22,Male,25-34,Tunisia,1
03/28/22,Male,45+,Tunisia,1
03/29/22,Female,18-24,Tunisia,1
03/29/22,Female,45+,Tunisia,1
03/31/22,Female,25-34,Tunisia,1
03/31/22,Male,25-34,France,1
04/02/22,Female,18-24,Tunisia,1
04/02/22,Female,25-34,Tunisia,1
04/03/22,Female,25-34,Tunisia,1
04/03/22,Female,45+,Tunisia,1
04/03/22,Male,25-34,Other,1
04/04/22,Female,18-24,Tunisia,1
04/04/22,Female,25-34,Tunisia,1
04/04/22,Male,18-24,Tunisia,1
04/04/22,Male,25-34,Tunisia,2
04/04/22,Male,35-44,France,1
04/04/22,Male,35-44,Tunisia,1
04/04/22,Male,45+,France,1
04/06/22,Female,18-24,France,1
04/06/22,Female,18-24,Tunisia,2
04/06/22,Female,25-34,France,1
04/06/22,Male,18-24,Tunisia,2
04/06/22,Male,25-34,Other,1
04/06/22,Male,35-44,Tunisia,1
04/07/22,Female,18-24,France,1
04/07/22,Female,18-24,Tunisia,1
04/07/22,Female,25-34,Tunisia,2
04/07/22,Female,35-44,Tunisia,1
04/07/22,Male,25-34,Tunisia,1
04/07/22,Male,35-44,France,1
04/07/22,Male,35-44,Tunisia,1
04/08/22,Female,18-24,France,1
04/08/22,Female,25-34,France,2
04/08/22,Female,25-34,Tunisia,1
04/08/22,Male,18-24,France,1
04/08/22,Male,25-34,Other,1
04/09/22,Female,25-34,Other,1
04/09/22,Male,35-44,France,1
04/10/22,Male,25-34,Tunisia,1
04/11/22,Female,18-24,France,1
04/11/22,Female,18-24,Tunisia,1
04/11/22,Female,25-34,Tunisia,1
04/11/22,Female,35-44,Tunisia,1
04/11/22,Female,45+,Tunisia,1
04/11/22,Male,25-34,France,1
04/11/22,Male,25-34,Tunisia,1
04/13/22,Female,18-24,France,1
04/13/22,Female,18-24,Tunisia,2
04/13/22,Female,25-34,France,2
04/13/22,Female,25-34,Tunisia,2
04/13/22,Female,45+,France,1
04/13/22,Female,45+,Tunisia,1
04/13/22,Male,18-24,France,1
04/13/22,Male,18-24,Tunisia,4
04/13/22,Male,25-34,France,1
04/13/22,Male,25-34,Tunisia,1
04/13/22,Male,35-44,Other,1
04/13/22,Male,45+,Tunisia,1
04/14/22,Female,18-24,France,2
04/14/22,Female,18-24,Tunisia,1
04/14/22,Female,25-34,France,2
04/14/22,Female,25-34,Tunisia,3
04/14/22,Female,35-44,France,1
04/14/22,Male,18-24,France,1
04/14/22,Male,18-24,Tunisia,5
04/14/22,Male,35-44,France,1
04/14/22,Male,35-44,Tunisia,1
04/15/22,Female,18-24,France,2
04/15/22,Female,18-24,Tunisia,1
04/15/22,Female,25-34,France,1
04/15/22,Female,25-34,Tunisia,2
04/15/22,Female,35-44,Tunisia,1
04/15/22,Female,45+,Tunisia,1
04/15/22,Male,25-34,Tunisia,1
04/16/22,Female,18-24,Tunisia,2
04/16/22,Female,25-34,France,4
04/16/22,Male,18-24,France,1
04/16/22,Male,25-34,France,1
04/16/22,Male,25-34,Other,1
04/16/22,Male,25-34,Tunisia,1
04/17/22,Female,18-24,Tunisia,3
04/17/22,Male,18-24,France,1
04/17/22,Male,18-24,Other,1
04/17/22,Male,18-24,Tunisia,2
04/17/22,Male,35-44,Tunisia,1
04/18/22,Female,25-34,France,1
04/18/22,Female,25-34,Tunisia,2
04/18/22,Female,35-44,Tunisia,1
04/18/22,Male,18-24,Other,1
04/18/22,Male,25-34,Tunisia,2
04/18/22,Male,35-44,Tunisia,1
04/19/22,Female,18-24,Tunisia,2
04/19/22,Female,25-34,Other,1
04/19/22,Female,25-34,Tunisia,6
04/19/22,Female,35-44,Tunisia,1
04/19/22,Female,45+,Tunisia,2
04/19/22,Male,18-24,Other,1
04/19/22,Male,25-34,Tunisia,1
04/19/22,Male,35-44,Tunisia,1
04/19/22,Male,45+,France,1
04/20/22,Female,25-34,France,3
04/20/22,Female,25-34,Tunisia,2
04/20/22,Male,18-24,France,1
04/20/22,Male,18-24,Other,1
04/20/22,Male,18-24,Tunisia,1
04/20/22,Male,25-34,Tunisia,1
04/21/22,Female,25-34,Tunisia,2
04/21/22,Female,35-44,Tunisia,1
04/21/22,Male,25-34,France,1
04/21/22,Male,25-34,Tunisia,2
04/21/22,Male,35-44,France,1
04/22/22,Female,18-24,France,1
04/22/22,Female,18-24,Other,1
04/22/22,Female,18-24,Tunisia,3
04/22/22,Female,25-34,France,1
04/22/22,Female,25-34,Tunisia,1
04/22/22,Female,35-44,France,1
04/22/22,Female,35-44,Tunisia,1
04/22/22,Male,18-24,Tunisia,2
04/22/22,Male,25-34,France,1
04/22/22,Male,25-34,Tunisia,2
04/22/22,Male,35-44,Other,1
04/23/22,Female,18-24,Other,1
04/23/22,Female,18-24,Tunisia,1
04/23/22,Female,25-34,France,1
04/23/22,Female,25-34,Tunisia,1
04/23/22,Female,45+,Tunisia,1
04/23/22,Male,25-34,France,1
04/23/22,Male,35-44,Tunisia,1
04/24/22,Female,18-24,Tunisia,1
04/24/22,Female,25-34,Other,1
04/24/22,Female,25-34,Tunisia,3
04/24/22,Female,45+,France,1
04/24/22,Female,45+,Tunisia,1
04/24/22,Male,18-24,France,1
04/24/22,Male,25-34,Other,1
04/24/22,Male,25-34,Tunisia,1
04/24/22,Male,45+,Tunisia,1
04/25/22,Female,25-34,Tunisia,2
04/25/22,Female,35-44,Other,1
04/25/22,Male,18-24,Other,1
04/26/22,Female,18-24,Tunisia,1
04/27/22,Female,18-24,Tunisia,1
04/27/22,Female,25-34,Tunisia,1
04/27/22,Female,35-44,Other,1
04/27/22,Male,18-24,Tunisia,1
04/27/22,Male,25-34,Tunisia,1
04/28/22,Female,25-34,Other,1
04/28/22,Female,25-34,Tunisia,2
04/28/22,Female,35-44,France,1
04/28/22,Female,35-44,Tunisia,1
04/28/22,Male,35-44,France,1
04/29/22,Female,25-34,France,2
04/29/22,Male,35-44,France,2
04/29/22,Male,35-44,Tunisia,2
04/30/22,Female,18-24,Tunisia,2
04/30/22,Male,18-24,France,1
04/30/22,Male,25-34,France,1
05/01/22,Female,18-24,Other,1
05/01/22,Female,18-24,Tunisia,1
05/01/22,Female,25-34,Other,1
05/01/22,Female,25-34,Tunisia,1
05/02/22,Female,35-44,France,1
05/03/22,Female,25-34,France,1
05/03/22,Female,25-34,Tunisia,1
05/03/22,Male,25-34,France,1
05/03/22,Male,35-44,Tunisia,1
05/04/22,Female,18-24,France,1
05/04/22,Female,18-24,Tunisia,3
05/04/22,Female,25-34,France,1
05/04/22,Female,25-34,Other,1
05/04/22,Female,25-34,Tunisia,4
05/04/22,Female,35-44,Other,1
05/04/22,Female,35-44,Tunisia,2
05/04/22,Female,45+,France,1
05/04/22,Male,18-24,France,1
05/04/22,Male,18-24,Tunisia,3
05/04/22,Male,25-34,France,2
05/04/22,Male,25-34,Tunisia,3
05/04/22,Male,35-44,France,1
05/04/22,Male,35-44,Other,1
05/05/22,Female,18-24,France,1
05/05/22,Female,18-24,Tunisia,1
05/05/22,Female,25-34,Tunisia,2
05/05/22,Male,18-24,Other,1
05/05/22,Male,18-24,Tunisia,1
05/05/22,Male,25-34,France,1
05/06/22,Female,18-24,Tunisia,1
05/06/22,Female,35-44,Tunisia,1
05/06/22,Male,18-24,France,1
05/06/22,Male,25-34,Other,1
05/07/22,Female,18-24,Tunisia,1
05/07/22,Female,25-34,Tunisia,1
05/07/22,Female,35-44,France,1
05/07/22,Male,18-24,France,1
05/07/22,Male,25-34,France,1
05/07/22,Male,35-44,France,1
05/07/22,Male,35-44,Tunisia,1
05/08/22,Male,18-24,Tunisia,1
05/08/22,Male,25-34,France,1
05/08/22,Male,25-34,Tunisia,1
05/08/22,Male,35-44,Tunisia,1
05/09/22,Female,18-24,Tunisia,2
05/09/22,Female,45+,France,1
05/09/22,Female,45+,Tunisia,1
05/09/22,Male,18-24,Tunisia,2
05/09/22,Male,25-34,Other,1
05/09/22,Male,25-34,Tunisia,1
05/10/22,Female,18-24,France,1
05/10/22,Female,18-24,Other,1
05/10/22,Female,18-24,Tunisia,7
05/10/22,Female,25-34,France,2
05/10/22,Female,25-34,Other,3
05/10/22,Female,25-34,Tunisia,2
05/10/22,Female,35-44,Tunisia,2
05/10/22,Female,45+,Tunisia,2
05/10/22,Male,18-24,France,1
05/10/22,Male,18-24,Other,1
05/10/22,Male,18-24,Tunisia,1
05/10/22,Male,25-34,Tunisia,2
05/10/22,Male,35-44,France,1
05/10/22,Male,45+,Tunisia,2
05/11/22,Female,18-24,France,1
05/11/22,Female,18-24,Tunisia,3
05/11/22,Female,25-34,France,2
05/11/22,Female,25-34,Other,1
05/11/22,Female,25-34,Tunisia,1
05/11/22,Male,25-34,France,1
05/11/22,Male,25-34,Other,1
05/11/22,Male,25-34,Tunisia,2
05/12/22,Female,18-24,France,1
05/12/22,Male,18-24,France,1
05/12/22,Male,25-34,Tunisia,2
05/13/22,Female,25-34,Tunisia,1
05/13/22,Male,18-24,Tunisia,1
05/13/22,Male,25-34,Other,1
05/13/22,Male,25-34,Tunisia,2
05/14/22,Female,18-24,Other,1
05/14/22,Female,25-34,France,1
05/14/22,Female,25-34,Tunisia,1
05/14/22,Female,35-44,Other,1
05/14/22,Female,35-44,Tunisia,3
05/14/22,Male,18-24,France,1
05/14/22,Male,25-34,Tunisia,1
05/15/22,Female,18-24,France,1
05/15/22,Female,18-24,Tunisia,1
05/16/22,Female,25-34,Tunisia,1
05/16/22,Male,18-24,France,1
05/16/22,Male,25-34,Tunisia,2
05/17/22,Female,35-44,France,1
05/17/22,Female,35-44,Tunisia,1
05/17/22,Male,18-24,Tunisia,1
05/18/22,Female,35-44,Other,1
05/18/22,Female,35-44,Tunisia,1
05/18/22,Male,18-24,Tunisia,1
05/19/22,Female,35-44,France,2
05/19/22,Male,18-24,France,1
05/19/22,Male,18-24,Tunisia,1
05/19/22,Male,25-34,Tunisia,1
05/19/22,Male,45+,Tunisia,1
05/20/22,Female,18-24,Other,1
05/20/22,Female,25-34,France,2
05/20/22,Female,25-34,Tunisia,1
05/20/22,Female,45+,Tunisia,1
05/20/22,Male,18-24,Tunisia,1
05/20/22,Male,25-34,Other,1
05/20/22,Male,25-34,Tunisia,1
05/21/22,Female,18-24,Tunisia,1
05/21/22,Female,35-44,France,1
05/21/22,Female,35-44,Other,1
05/21/22,Female,45+,Tunisia,1
05/21/22,Male,25-34,Tunisia,2
05/22/22,Female,18-24,France,1
05/22/22,Female,18-24,Tunisia,3
05/22/22,Female,25-34,Tunisia,1
05/22/22,Female,35-44,Tunisia,1
05/22/22,Female,45+,France,2
05/22/22,Male,18-24,Other,1
05/22/22,Male,18-24,Tunisia,1
05/22/22,Male,25-34,France,2
05/22/22,Male,25-34,Tunisia,1
05/23/22,Female,18-24,Tunisia,1
05/23/22,Female,25-34,France,1
05/23/22,Female,25-34,Tunisia,1
05/23/22,Female,35-44,France,1
05/23/22,Male,35-44,France,1
05/24/22,Female,18-24,France,2
05/24/22,Female,18-24,Tunisia,2
05/24/22,Female,25-34,France,1
05/24/22,Female,25-34,Tunisia,2
05/24/22,Female,35-44,France,1
05/24/22,Male,25-34,Other,1
05/26/22,Female,25-34,Tunisia,1
05/26/22,Female,35-44,Tunisia,1
05/26/22,Male,18-24,Tunisia,1
05/26/22,Male,45+,Tunisia,1
05/27/22,Female,25-34,France,1
05/27/22,Female,25-34,Tunisia,4
05/27/22,Male,25-34,Tunisia,1
05/27/22,Male,45+,France,1
05/28/22,Female,18-24,France,1
05/28/22,Female,18-24,Tunisia,1
05/28/22,Female,25-34,Tunisia,2
05/28/22,Female,35-44,France,1
05/28/22,Female,45+,Tunisia,1
05/28/22,Male,25-34,Tunisia,1
05/28/22,Male,35-44,Tunisia,1
05/28/22,Male,45+,Tunisia,1
05/29/22,Female,18-24,Tunisia,1
05/29/22,Female,25-34,Tunisia,1
05/29/22,Male,18-24,France,1
05/30/22,Female,25-34,Tunisia,1
05/30/22,Male,25-34,Other,1
05/31/22,Female,25-34,Other,1
05/31/22,Female,35-44,France,1
05/31/22,Female,35-44,Other,1
05/31/22,Male,35-44,Tunisia,1
06/01/22,Female,18-24,France,3
06/01/22,Female,18-24,Tunisia,3
06/01/22,Female,25-34,France,2
06/01/22,Female,25-34,Other,2
06/01/22,Female,25-34,Tunisia,3
06/01/22,Female,35-44,France,1
06/01/22,Female,35-44,Tunisia,1
06/01/22,Female,45+,France,2
06/01/22,Female,45+,Tunisia,2
06/01/22,Male,18-24,France,2
06/01/22,Male,18-24,Tunisia,6
06/01/22,Male,25-34,France,5
06/01/22,Male,25-34,Other,1
06/01/22,Male,25-34,Tunisia,3
06/01/22,Male,35-44,France,2
06/01/22,Male,35-44,Other,1
06/01/22,Male,35-44,Tunisia,2
06/02/22,Female,18-24,France,4
06/02/22,Female,18-24,Other,2
06/02/22,Female,18-24,Tunisia,8
06/02/22,Female,25-34,France,4
06/02/22,Female,25-34,Other,2
06/02/22,Female,25-34,Tunisia,10
06/02/22,Female,35-44,France,4
06/02/22,Female,35-44,Tunisia,1
06/02/22,Female,45+,France,2
06/02/22,Female,45+,Other,1
06/02/22,Male,18-24,France,2
06/02/22,Male,18-24,Other,1
06/02/22,Male,18-24,Tunisia,3
06/02/22,Male,25-34,France,2
06/02/22,Male,25-34,Other,2
06/02/22,Male,25-34,Tunisia,9
06/02/22,Male,35-44,Tunisia,5
06/02/22,Male,45+,France,2
06/02/22,Male,45+,Other,1
06/02/22,Male,45+,Tunisia,2
